location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million
Italy,ITA,2021-01-17,1235060,1232075,2999,,37531,78690,2.05,2.04,0.0,,1304
Italy,ITA,2021-01-18,1279575,1271503,8086,,44515,73290,2.12,2.11,0.01,,1214
Italy,ITA,2021-01-19,1313018,1303167,9865,,33443,66159,2.18,2.16,0.02,,1096
Italy,ITA,2021-01-20,1344409,1329968,14455,,31391,56944,2.23,2.2,0.02,,943
Italy,ITA,2021-01-21,1380756,1346432,34338,,36347,48557,2.29,2.23,0.06,,804
Italy,ITA,2021-01-22,1408022,1359585,48451,,27266,39463,2.33,2.25,0.08,,654
Italy,ITA,2021-01-23,1447300,1365603,81711,,39278,35682,2.4,2.26,0.14,,591
Italy,ITA,2021-01-24,1481277,1368836,112455,,33977,35174,2.45,2.27,0.19,,583
Italy,ITA,2021-01-25,1550758,1373723,177049,,69481,38740,2.57,2.28,0.29,,642
Italy,ITA,2021-01-26,1631492,1378063,253443,,80734,45496,2.7,2.28,0.42,,754
Italy,ITA,2021-01-27,1702586,1384399,318201,,71094,51168,2.82,2.29,0.53,,848
Italy,ITA,2021-01-28,1796566,1389275,407305,,93980,59401,2.98,2.3,0.67,,984
Italy,ITA,2021-01-29,1895436,1394249,501201,,98870,69631,3.14,2.31,0.83,,1153
Italy,ITA,2021-01-30,1986014,1398421,587607,,90578,76959,3.29,2.32,0.97,,1275
Italy,ITA,2021-01-31,2045858,1401051,644821,,59844,80654,3.39,2.32,1.07,,1336
Italy,ITA,2021-02-01,2131845,1405364,726495,,85987,83012,3.53,2.33,1.2,,1375
Italy,ITA,2021-02-02,2220229,1411810,808434,,88384,84105,3.68,2.34,1.34,,1393
Italy,ITA,2021-02-03,2320287,1420898,899404,,100058,88243,3.84,2.35,1.49,,1462
Italy,ITA,2021-02-04,2428906,1434473,994452,,108619,90334,4.02,2.38,1.65,,1496
Italy,ITA,2021-02-05,2536752,1452430,1084341,,107846,91617,4.2,2.41,1.8,,1518
Italy,ITA,2021-02-06,2614694,1467115,1147599,,77942,89811,4.33,2.43,1.9,,1488
Italy,ITA,2021-02-07,2657008,1476644,1180384,,42314,87307,4.4,2.45,1.96,,1446
Italy,ITA,2021-02-08,2724033,1503543,1220512,,67025,84598,4.51,2.49,2.02,,1401
Italy,ITA,2021-02-09,2791174,1538155,1253041,,67141,81564,4.62,2.55,2.08,,1351
Italy,ITA,2021-02-10,2864377,1583298,1281101,,73203,77727,4.74,2.62,2.12,,1288
Italy,ITA,2021-02-11,2939569,1638700,1300891,,75192,72952,4.87,2.71,2.15,,1208
Italy,ITA,2021-02-12,3014053,1697713,1316362,,74484,68186,4.99,2.81,2.18,,1130
Italy,ITA,2021-02-13,3066928,1743830,1323120,,52875,64605,5.08,2.89,2.19,,1070
Italy,ITA,2021-02-14,3096936,1771242,1325716,,30008,62847,5.13,2.93,2.2,,1041
Italy,ITA,2021-02-15,3159962,1828189,1331795,,63026,62276,5.23,3.03,2.21,,1032
Italy,ITA,2021-02-16,3231386,1893393,1338015,,71424,62887,5.35,3.14,2.22,,1042
Italy,ITA,2021-02-17,3312045,1964458,1347609,,80659,63953,5.49,3.25,2.23,,1059
Italy,ITA,2021-02-18,3402519,2046878,1355663,,90474,66136,5.64,3.39,2.25,,1096
Italy,ITA,2021-02-19,3495994,2133641,1362375,,93475,68849,5.79,3.53,2.26,,1140
Italy,ITA,2021-02-20,3574592,2207744,1366870,,78598,72523,5.92,3.66,2.26,,1201
Italy,ITA,2021-02-21,3625790,2256704,1369108,,51198,75551,6.01,3.74,2.27,,1252
Italy,ITA,2021-02-22,3731861,2357413,1374470,,106071,81700,6.18,3.91,2.28,,1353
Italy,ITA,2021-02-23,3838824,2458917,1379929,,106963,86777,6.36,4.07,2.29,,1437
